Eficiencia Exploración,Epsilon Decay,Epsilon Min,Epsilon Start,Pasos Totales,Pasos/Segundo,Pokemon Obtenidos,Posiciones Exploradas,Recompensa Promedio,Recompensa Total,Suma de Niveles,Tiempo (s),Timestamp,Algorithm,Source_File,Eficiencia (Rew/Paso),Estado de Ejecución,Velocidad (Pasos/s),Escenario,Memoria (MB),Razón,Agente,Modelo,Acción Más Usada,Algoritmo,Eficiencia (Recompensa/Paso),Posiciones Visitadas,Razón de Terminación,Total_Steps,Execution_Time,Total_Reward,Efficiency,Speed
0.3419354838709677,0.9998,0.01,0.3,155.0,155.0,1.0,53.0,0.8328242193548386,129.087754,5.0,0.0,1758505059.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\1\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,155.0,0.0,129.087754,0.8328242193548386,1550.0
0.4482758620689655,0.9998,0.01,0.3,87.0,87.0,1.0,39.0,0.7620239540229886,66.29608400000001,13.0,0.0005037784576416,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\10\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,87.0,0.0005037784576416,66.29608400000001,0.7620239540229886,870.0
0.3389830508474576,0.9998,0.01,0.3,59.0,59.0,1.0,20.0,1.9203079661016949,113.29817,5.0,0.0,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\11\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,59.0,0.0,113.29817,1.9203079661016949,590.0
0.4433497536945813,0.9998,0.01,0.3,203.0,203.0,1.0,90.0,0.4097492118226601,83.17909000000002,6.0,0.0,1758505059.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\2\epsilon_greedy_summary_1758505059.csv,,,,,,,,,,,,,,203.0,0.0,83.17909000000002,0.40974921182266016,2030.0
0.3737864077669903,0.9998,0.01,0.3,206.0,206.0,1.0,77.0,0.6576624854368931,135.47847199999998,5.0,0.0021126270294189,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\3\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,206.0,0.0021126270294189,135.47847199999998,0.6576624854368931,2060.0
0.4277108433734939,0.9998,0.01,0.3,166.0,166.0,1.0,71.0,0.4932889879518073,81.88597200000001,12.0,0.001516580581665,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\4\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,166.0,0.001516580581665,81.88597200000001,0.4932889879518073,1660.0
0.4285714285714285,0.9998,0.01,0.3,574.0,574.0,1.0,246.0,0.2660878048780488,152.73440000000002,5.0,0.001645803451538,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\5\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,574.0,0.001645803451538,152.73440000000002,0.26608780487804884,5740.0
0.4659090909090909,0.9998,0.01,0.3,88.0,88.0,1.0,41.0,1.3215453977272729,116.295995,5.0,0.0,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\6\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,88.0,0.0,116.295995,1.3215453977272729,880.0
0.4210526315789473,0.9998,0.01,0.3,190.0,190.0,1.0,80.0,0.4525350736842105,85.981664,10.0,0.0,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\7\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,190.0,0.0,85.981664,0.4525350736842105,1900.0
0.4647887323943662,0.9998,0.01,0.3,213.0,213.0,1.0,99.0,0.6473098356807512,137.876995,5.0,0.0,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\8\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,213.0,0.0,137.876995,0.6473098356807512,2130.0
0.4648526077097505,0.9998,0.01,0.3,441.0,441.0,1.0,205.0,0.393882306122449,173.702097,5.0,0.0015134811401367,1758505060.0,epsilon_greedy_conservadora,RESULTADOS\epsilon_greedy_comparison\conservadora\9\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,441.0,0.0015134811401367,173.702097,0.393882306122449,4410.0
0.3896103896103896,0.9995,0.05,0.7,77.0,77.0,1.0,30.0,1.5012586883116883,115.596919,5.0,0.0,1758505057.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\1\epsilon_greedy_summary_1758505057.csv,,,,,,,,,,,,,,77.0,0.0,115.596919,1.5012586883116883,770.0
0.3567073170731707,0.9995,0.05,0.7,328.0,328.0,1.0,117.0,0.4830662042682927,158.445715,5.0,0.0011117458343505,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\10\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,328.0,0.0011117458343505,158.445715,0.4830662042682927,3280.0
0.323943661971831,0.9995,0.05,0.7,142.0,142.0,1.0,46.0,0.8809134084507043,125.089704,5.0,0.0015192031860351,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\11\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,142.0,0.0015192031860351,125.089704,0.8809134084507042,1420.0
0.3757736516357206,0.9995,0.05,0.7,1131.0,1131.0,1.0,425.0,0.2686637683465959,303.858722,5.0,0.0030207633972167,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\2\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,1131.0,0.0030207633972167,303.858722,0.26866376834659594,11310.0
0.32,0.9995,0.05,0.7,200.0,200.0,1.0,64.0,0.683398495,136.679699,5.0,0.0015218257904052,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\3\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,200.0,0.0015218257904052,136.679699,0.683398495,2000.0
0.426056338028169,0.9995,0.05,0.7,284.0,284.0,1.0,121.0,0.5382367781690139,152.85924499999996,5.0,0.0015194416046142,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\4\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,284.0,0.0015194416046142,152.85924499999996,0.5382367781690139,2840.0
0.3508064516129032,0.9995,0.05,0.7,496.0,496.0,1.0,174.0,0.3830166270161289,189.97624699999997,5.0,0.0015316009521484,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\5\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,496.0,0.0015316009521484,189.97624699999997,0.383016627016129,4960.0
0.3587786259541984,0.9995,0.05,0.7,262.0,262.0,1.0,94.0,0.551394213740458,144.465284,5.0,0.0,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\6\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,262.0,0.0,144.465284,0.551394213740458,2620.0
0.4412811387900356,0.9995,0.05,0.7,281.0,281.0,1.0,124.0,0.5468330854092527,153.660097,5.0,0.0015943050384521,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\7\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,281.0,0.0015943050384521,153.660097,0.5468330854092527,2810.0
0.3846153846153846,0.9995,0.05,0.7,91.0,91.0,1.0,35.0,0.7461068351648352,67.895722,12.0,0.0,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\8\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,91.0,0.0,67.895722,0.7461068351648352,910.0
0.8,0.9995,0.05,0.7,10.0,10.0,1.0,8.0,10.2199934,102.199934,5.0,0.0,1758505058.0,epsilon_greedy_moderada_alta,RESULTADOS\epsilon_greedy_comparison\moderada_alta\9\epsilon_greedy_summary_1758505058.csv,,,,,,,,,,,,,,10.0,0.0,102.199934,10.2199934,100.0
0.4931506849315068,0.9999,0.01,0.1,219.0,219.0,1.0,108.0,0.6400716438356164,140.17569,5.0,0.0015180110931396,1758505060.0,epsilon_greedy_muy_greedy,RESULTADOS\epsilon_greedy_comparison\muy_greedy\1\epsilon_greedy_summary_1758505060.csv,,,,,,,,,,,,,,219.0,0.0015180110931396,140.17569,0.6400716438356164,2190.0
0.4457364341085271,0.9999,0.01,0.1,516.0,516.0,1.0,230.0,0.3664071647286819,189.0660969999999,5.0,0.0015122890472412,1758505061.0,epsilon_greedy_muy_greedy,RESULTADOS\epsilon_greedy_comparison\muy_greedy\10\epsilon_greedy_summary_1758505061.csv,,,,,,,,,,,,,,516.0,0.0015122890472412,189.0660969999999,0.36640716472868196,5160.0
